Threshold,TP,FN,FP,TN,Correct,Incorrect,Test set,precision,recall,F1_Measure,TPR,FPR
1,20,80,2,98,100,100,200,0.9090909090909091,0.2,0.32786885245901637,0.2,0.02
5,50,50,5,95,100,100,200,0.9090909090909091,0.5,0.6451612903225806,0.5,0.05
10,60,40,10,90,100,100,200,0.8571428571428571,0.6,0.7058823529411764,0.6,0.1
15,80,20,20,80,100,100,200,0.8,0.8,0.8000000000000002,0.8,0.2
20,88,12,30,70,100,100,200,0.7457627118644068,0.88,0.8073394495412843,0.88,0.3
25,90,10,40,60,100,100,200,0.6923076923076923,0.9,0.7826086956521738,0.9,0.4
30,95,5,50,50,100,100,200,0.6551724137931034,0.95,0.7755102040816326,0.95,0.5
35,96,4,60,40,100,100,200,0.6153846153846154,0.96,0.7500000000000001,0.96,0.6
40,97,3,70,30,100,100,200,0.5808383233532934,0.97,0.7265917602996255,0.97,0.7
50,98,2,80,20,100,100,200,0.550561797752809,0.98,0.7050359712230216,0.98,0.8
